instance,best_objective,best_open_depots,best_open_depots_base,best_open_depots_idx,feasible_count,optimal_count,time_limit_count,error_count
Instance1,94.63333333333333,"[15, 17]","[0, 5]","[0, 2]",10,10,0,0
Instance2,9.62,"[15, 16]","[1, 3]","[0, 1]",10,10,0,0
Instance3,10.036666666666669,"[15, 18]","[5, 8]","[0, 3]",10,10,0,0
Instance4,7.37,"[16, 17]","[5, 10]","[1, 2]",10,10,0,0
Instance5,8.843333333333335,"[17, 19]","[5, 10]","[2, 4]",10,10,0,0
Instance6,13.526666666666669,"[15, 16]","[3, 7]","[0, 1]",10,10,0,0
Instance7,81.23333333333333,"[16, 18]","[5, 8]","[1, 3]",10,10,0,0
Instance8,6.543333333333334,"[15, 19]","[1, 14]","[0, 4]",10,10,0,0
Instance9,90.63333333333334,"[15, 18]","[2, 8]","[0, 3]",10,10,0,0
Instance10,105.17666666666668,"[17, 19]","[4, 14]","[2, 4]",10,10,0,0
