instance,table3_combo_internal,table3_combo_idx,gurobi_best_combo_idx,paper_obj_table3_path_fixed,paper_status_table3_path_fixed,paper_obj_gurobi_same_combo_opt,paper_obj_gurobi_best_combo_opt,gap_table3_path_minus_gurobi_same_combo_opt,gap_table3_path_minus_gurobi_best_combo_opt,arrival_obj_table3_reference
Instance1,"[16, 17]","[1, 2]","[0, 2]",99.68333333333334,OPTIMAL,97.28,94.63333333333334,2.403333333333336,5.049999999999997,107.13666666666668
Instance2,"[15, 16]","[0, 1]","[0, 1]",9.673333333333334,OPTIMAL,9.62,9.62,0.053333333333334565,0.053333333333334565,10.313333333333334
Instance3,"[15, 18]","[0, 3]","[0, 3]",10.726666666666668,OPTIMAL,10.036666666666667,10.036666666666667,0.6900000000000013,0.6900000000000013,10.919999999999998
Instance4,"[16, 17]","[1, 2]","[1, 2]",8.553333333333336,OPTIMAL,7.369999745047008,7.369999745047008,1.1833335882863283,1.1833335882863283,9.386666666666667
Instance5,"[17, 19]","[2, 4]","[2, 4]",9.863333333333333,OPTIMAL,8.843333333333335,8.843333333333335,1.0199999999999978,1.0199999999999978,10.383333333333333
Instance6,"[15, 16]","[0, 1]","[0, 1]",16.720000000000002,OPTIMAL,13.526665054220857,13.526665054220857,3.193334945779146,3.193334945779146,18.093333333333334
Instance7,"[16, 18]","[1, 3]","[1, 3]",81.27333333333334,OPTIMAL,81.23333142295746,81.23333142295746,0.04000191037587797,0.04000191037587797,88.95333333333332
Instance8,"[15, 19]","[0, 4]","[0, 4]",6.693333333333333,OPTIMAL,6.543332842652998,6.543332842652998,0.15000049068033494,0.15000049068033494,7.460000000000002
Instance9,"[17, 19]","[2, 4]","[0, 3]",92.63,OPTIMAL,92.43333172379735,90.75,0.1966682762026437,1.8799999999999955,101.69666666666666
Instance10,"[17, 19]","[2, 4]","[2, 4]",129.77666666666667,OPTIMAL,105.423327143131,105.423327143131,24.353339523535666,24.353339523535666,112.62666666666667
