instance,table3_combo_internal,table3_combo_idx,table3_combo_base,table3_arrival_obj_reference,paper_obj_table3_path_fixed,paper_status_table3_path_fixed,gurobi_best_combo_internal,gurobi_best_combo_idx,gurobi_best_combo_base,paper_obj_gurobi_best_combo_opt,gurobi_best_status,gurobi_best_runtime_sec,gurobi_best_bound,gurobi_best_achieved_mip_gap_pct,instance_optimal_combo_count,instance_time_limit_combo_count,gap_table3_path_minus_gurobi_best_combo_opt,match_table3_combo_vs_gurobi_best_combo,table3_json,table3_repaired_json,gurobi_best_json
Instance1,"[16, 17]","[1, 2]","[2, 5]",107.13666666666668,107.13666666666666,OPTIMAL,"[15, 17]","[0, 2]","[0, 5]",104.01333120934271,TIME_LIMIT,100.26699995994568,78.34451110622358,24.678394398749436,2,8,3.1233354573239467,False,outputs/routes_bundle_10instances\Instance1_table3_fixedx_combo_16_17.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance1_table3_fixedx_combo_16_17_paper_exact_repaired.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance1_gurobi_best_combo_15_17.json
Instance2,"[15, 16]","[0, 1]","[1, 3]",10.313333333333334,10.313333333333334,OPTIMAL,"[15, 16]","[0, 1]","[1, 3]",10.306666657700694,TIME_LIMIT,100.36500000953674,8.226666666307958,20.18111248255662,2,8,0.006666675632640562,True,outputs/routes_bundle_10instances\Instance2_table3_fixedx_combo_15_16.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance2_table3_fixedx_combo_15_16_paper_exact_repaired.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance2_gurobi_best_combo_15_16.json
Instance3,"[15, 18]","[0, 3]","[5, 8]",10.919999999999998,10.92,OPTIMAL,"[15, 18]","[0, 3]","[5, 8]",10.506666666666666,TIME_LIMIT,100.22100019454956,9.082785705833457,13.552166505392218,8,2,0.413333333333334,True,outputs/routes_bundle_10instances\Instance3_table3_fixedx_combo_15_18.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance3_table3_fixedx_combo_15_18_paper_exact_repaired.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance3_gurobi_best_combo_15_18.json
Instance4,"[16, 17]","[1, 2]","[5, 10]",9.386666666666667,9.386666666666668,OPTIMAL,"[16, 17]","[1, 2]","[5, 10]",8.909999985890655,TIME_LIMIT,100.42700004577637,6.754487905329292,24.192054814530913,4,6,0.47666668077601315,True,outputs/routes_bundle_10instances\Instance4_table3_fixedx_combo_16_17.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance4_table3_fixedx_combo_16_17_paper_exact_repaired.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance4_gurobi_best_combo_16_17.json
Instance5,"[17, 19]","[2, 4]","[5, 10]",10.383333333333333,10.383333333333335,OPTIMAL,"[17, 19]","[2, 4]","[5, 10]",9.876666401027084,TIME_LIMIT,100.31900000572205,7.024227255745725,28.88058611541979,6,4,0.5066669323062509,True,outputs/routes_bundle_10instances\Instance5_table3_fixedx_combo_17_19.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance5_table3_fixedx_combo_17_19_paper_exact_repaired.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance5_gurobi_best_combo_17_19.json
Instance6,"[15, 16]","[0, 1]","[3, 7]",18.093333333333334,18.093333333333334,OPTIMAL,"[15, 16]","[0, 1]","[3, 7]",18.186666416400804,TIME_LIMIT,100.13600015640259,14.300841581876721,21.36633919353044,1,9,-0.09333308306747057,True,outputs/routes_bundle_10instances\Instance6_table3_fixedx_combo_15_16.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance6_table3_fixedx_combo_15_16_paper_exact_repaired.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance6_gurobi_best_combo_15_16.json
Instance7,"[16, 18]","[1, 3]","[5, 8]",88.95333333333332,88.95333333333333,OPTIMAL,"[16, 18]","[1, 3]","[5, 8]",88.95666381701703,TIME_LIMIT,100.20600008964539,66.81480098146123,24.890617392196035,0,10,-0.0033304836836975937,True,outputs/routes_bundle_10instances\Instance7_table3_fixedx_combo_16_18.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance7_table3_fixedx_combo_16_18_paper_exact_repaired.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance7_gurobi_best_combo_16_18.json
Instance8,"[15, 19]","[0, 4]","[1, 14]",7.460000000000002,7.460000000000001,OPTIMAL,"[15, 19]","[0, 4]","[1, 14]",7.4233332041922555,TIME_LIMIT,100.65000009536743,5.943417898377185,19.93599458770492,1,9,0.036666795807745345,True,outputs/routes_bundle_10instances\Instance8_table3_fixedx_combo_15_19.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance8_table3_fixedx_combo_15_19_paper_exact_repaired.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance8_gurobi_best_combo_15_19.json
Instance9,"[17, 19]","[2, 4]","[6, 13]",101.69666666666666,101.69666666666669,OPTIMAL,"[17, 19]","[2, 4]","[6, 13]",101.44666624462798,TIME_LIMIT,100.22099995613098,80.42185261517137,20.724992163623664,3,7,0.25000042203870976,True,outputs/routes_bundle_10instances\Instance9_table3_fixedx_combo_17_19.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance9_table3_fixedx_combo_17_19_paper_exact_repaired.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance9_gurobi_best_combo_17_19.json
Instance10,"[17, 19]","[2, 4]","[4, 14]",112.62666666666667,112.68,OPTIMAL,"[17, 19]","[2, 4]","[4, 14]",112.18,TIME_LIMIT,100.28400015830994,77.24859480949313,31.138710278576287,0,10,0.5,True,outputs/routes_bundle_10instances\Instance10_table3_fixedx_combo_17_19.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance10_table3_fixedx_combo_17_19_paper_exact_repaired.json,outputs\gurobi_enum_paper_exact_100s_20260318_195048\comparison_bundle_vs_table3\Instance10_gurobi_best_combo_17_19.json
