instance,source,scenario_index,depot_internal,truck_walk_eval_preferred,truck_assigned_demands,drone_sequence_spt,drone_assigned_demands,drone_arrival_time
Instance1,gurobi_best,0,15,"[15, 6, 14, 6, 15]","[6, 14]","[0, 4, 2, 11]","[0, 2, 4, 11]","{""0"": 0.0, ""11"": 271.0, ""2"": 94.0, ""4"": 10.0}"
Instance1,gurobi_best,0,17,"[17, 5, 12, 1, 3, 9, 1, 12, 5, 7, 5, 17]","[1, 3, 5, 7, 9, 12]","[8, 10, 13]","[8, 10, 13]","{""10"": 108.5, ""13"": 250.5, ""8"": 28.5}"
Instance1,gurobi_best,1,15,"[15, 0, 2, 11, 7, 11, 2, 0, 15]","[0, 2, 7, 11]","[4, 6, 14]","[4, 6, 14]","{""14"": 225.5, ""4"": 10.0, ""6"": 65.5}"
Instance1,gurobi_best,1,17,"[17, 5, 12, 1, 3, 9, 3, 1, 9, 1, 12, 5, 17]","[1, 3, 5, 9, 12]","[8, 10, 13]","[8, 10, 13]","{""10"": 108.5, ""13"": 250.5, ""8"": 28.5}"
Instance1,gurobi_best,2,15,"[15, 0, 4, 6, 14, 6, 0, 15]","[0, 4, 6, 14]","[2, 11]","[2, 11]","{""11"": 251.0, ""2"": 74.0}"
Instance1,gurobi_best,2,17,"[17, 5, 12, 1, 3, 1, 9, 3, 9, 1, 12, 5, 7, 17]","[1, 3, 5, 7, 9, 12]","[8, 10, 13]","[8, 10, 13]","{""10"": 108.5, ""13"": 250.5, ""8"": 28.5}"
Instance1,gurobi_best,3,15,"[15, 0, 4, 6, 14, 6, 4, 15]","[0, 4, 6, 14]","[2, 11]","[2, 11]","{""11"": 251.0, ""2"": 74.0}"
Instance1,gurobi_best,3,17,"[17, 5, 12, 1, 9, 3, 1, 12, 5, 7, 17]","[1, 3, 5, 7, 9, 12]","[8, 10, 13]","[8, 10, 13]","{""10"": 108.5, ""13"": 250.5, ""8"": 28.5}"
Instance1,gurobi_best,4,15,"[15, 0, 2, 11, 7, 11, 2, 0, 15]","[0, 2, 7, 11]","[4, 6, 14]","[4, 6, 14]","{""14"": 225.5, ""4"": 10.0, ""6"": 65.5}"
Instance1,gurobi_best,4,17,"[17, 5, 12, 1, 3, 9, 1, 12, 17]","[1, 3, 5, 9, 12]","[8, 10, 13]","[8, 10, 13]","{""10"": 108.5, ""13"": 250.5, ""8"": 28.5}"
Instance1,gurobi_best,5,15,"[15, 0, 2, 11, 7, 11, 2, 0, 15]","[0, 2, 7, 11]","[4, 6, 14]","[4, 6, 14]","{""14"": 225.5, ""4"": 10.0, ""6"": 65.5}"
Instance1,gurobi_best,5,17,"[17, 12, 1, 3, 1, 9, 3, 9, 1, 12, 17]","[1, 3, 9, 12]","[5, 8, 10, 13]","[5, 8, 10, 13]","{""10"": 108.5, ""13"": 250.5, ""5"": 0.0, ""8"": 28.5}"
Instance1,gurobi_best,6,15,"[15, 0, 4, 6, 14, 6, 15]","[0, 4, 6, 14]","[2, 11]","[2, 11]","{""11"": 251.0, ""2"": 74.0}"
