instance,source,scenario_index,depot_internal,truck_walk_eval_preferred,truck_assigned_demands,drone_sequence_spt,drone_assigned_demands,drone_arrival_time
Instance1,table3_existing,0,16,"[16, 2, 2, 0, 4, 6, 14]",,"[11, 13]",,
Instance1,table3_existing,0,17,"[17, 5, 12, 1, 3, 9, 1, 12, 5]",,"[8, 10, 7]",,
Instance1,table3_existing,1,16,"[16, 2, 2, 0, 4, 6, 14]",,"[11, 13]",,
Instance1,table3_existing,1,17,"[17, 5, 12, 1, 3, 9, 1, 12, 5]",,"[8, 10, 7]",,
Instance1,table3_existing,2,16,"[16, 2, 2, 0, 4, 6]",,"[11, 13]",,
Instance1,table3_existing,2,17,"[17, 5, 12, 1, 3, 9, 1, 12, 5, 7]",,"[8, 10, 14]",,
Instance1,table3_existing,3,16,"[16, 2, 2, 0, 4, 6, 14]",,"[11, 13]",,
Instance1,table3_existing,3,17,"[17, 5, 12, 1, 3, 9, 1, 12, 5]",,"[8, 10, 7]",,
Instance1,table3_existing,4,16,"[16, 2, 2, 0, 4, 6, 14]",,"[11, 13]",,
Instance1,table3_existing,4,17,"[17, 5, 12, 1, 3, 9, 1, 12, 5]",,"[8, 10, 7]",,
Instance1,table3_existing,5,16,"[16, 2, 2, 0, 4, 6, 14]",,"[11, 13]",,
Instance1,table3_existing,5,17,"[17, 5, 12, 1, 3, 9, 1, 12, 5]",,"[8, 10, 7]",,
Instance1,table3_existing,6,16,"[16, 2, 2, 0, 4, 6, 14]",,"[11, 13]",,
Instance1,table3_existing,6,17,"[17, 5, 12, 1, 3, 9, 1, 12, 5]",,"[8, 10, 7]",,
Instance1,table3_existing,7,16,"[16, 2, 2, 0, 4, 6, 14]",,"[11, 13]",,
Instance1,table3_existing,7,17,"[17, 5, 12, 1, 3, 9, 1, 12, 5]",,"[8, 10, 7]",,
Instance1,table3_existing,8,16,"[16, 2, 2, 0, 4, 6, 14]",,"[11, 13]",,
Instance1,table3_existing,8,17,"[17, 5, 12, 1, 3, 9, 1, 12, 5]",,"[8, 10, 7]",,
Instance1,table3_existing,9,16,"[16, 2, 2, 0, 4, 6, 14]",,"[11, 13]",,
Instance1,table3_existing,9,17,"[17, 5, 12, 1, 9, 3, 1, 12, 5]",,"[8, 10, 7]",,
Instance1,table3_paper_exact_repaired,0,16,"[16, 2, 0, 4, 6, 14, 6, 0, 16]",,"[11, 13]",,
Instance1,table3_paper_exact_repaired,0,17,"[17, 5, 12, 1, 3, 9, 1, 12, 5, 17]",,"[8, 10, 7]",,
Instance1,table3_paper_exact_repaired,1,16,"[16, 2, 0, 4, 6, 14, 6, 0, 16]",,"[11, 13]",,
Instance1,table3_paper_exact_repaired,1,17,"[17, 5, 12, 1, 3, 9, 1, 12, 5, 17]",,"[8, 10, 7]",,
Instance1,table3_paper_exact_repaired,2,16,"[16, 2, 0, 4, 6, 0, 16]",,"[11, 13]",,
Instance1,table3_paper_exact_repaired,2,17,"[17, 5, 12, 1, 3, 9, 1, 12, 5, 7, 17]",,"[8, 10, 14]",,
Instance1,table3_paper_exact_repaired,3,16,"[16, 2, 0, 4, 6, 14, 6, 0, 16]",,"[11, 13]",,
Instance1,table3_paper_exact_repaired,3,17,"[17, 5, 12, 1, 3, 9, 1, 12, 5, 17]",,"[8, 10, 7]",,
Instance1,table3_paper_exact_repaired,4,16,"[16, 2, 0, 4, 6, 14, 6, 0, 16]",,"[11, 13]",,
Instance1,table3_paper_exact_repaired,4,17,"[17, 5, 12, 1, 3, 9, 1, 12, 5, 17]",,"[8, 10, 7]",,
