instance,is_best,rank_by_objective,open_depots,open_depots_base,open_depots_idx,status_name,objective,best_bound,achieved_mip_gap,achieved_mip_gap_pct,rank_by_arrival_rescore,arrival_best_objective,arrival_best_solution_number,arrival_pool_solution_count,runtime_sec,error
Instance1,1,1,"[15, 17]","[0, 5]","[0, 2]",TIME_LIMIT,104.01333120934271,78.34451110622358,0.24678394398749437,24.678394398749436,2,,,,100.26699995994568,
Instance1,0,2,"[16, 17]","[2, 5]","[1, 2]",TIME_LIMIT,107.08333333333333,82.13116686603229,0.23301634055067122,23.301634055067122,5,,,,100.25300002098083,
Instance1,0,3,"[15, 19]","[0, 13]","[0, 4]",TIME_LIMIT,113.13333274844446,95.47553250907191,0.15607955507361587,15.607955507361588,4,,,,100.2260000705719,
Instance1,0,4,"[17, 18]","[5, 11]","[2, 3]",TIME_LIMIT,113.83666660680701,99.28608743945794,0.12781979305145078,12.781979305145077,8,,,,100.21600008010864,
Instance1,0,5,"[16, 19]","[2, 13]","[1, 4]",TIME_LIMIT,117.92333333333335,107.63193178526157,0.08727196948360608,8.727196948360607,7,,,,100.22199988365173,
Instance1,0,6,"[17, 19]","[5, 13]","[2, 4]",OPTIMAL,120.28666666666668,120.28666666666668,0.0,0.0,9,,,,10.750999927520752,
Instance1,0,7,"[18, 19]","[11, 13]","[3, 4]",OPTIMAL,131.75,131.75,0.0,0.0,10,,,,75.91199994087219,
Instance1,0,8,"[15, 18]","[0, 11]","[0, 3]",TIME_LIMIT,150.74333190844456,119.32981030174206,0.20839078723416976,20.839078723416975,3,,,,100.23599982261658,
Instance1,0,9,"[16, 18]","[2, 11]","[1, 3]",TIME_LIMIT,151.50999800511445,138.0670783430519,0.08872628763158441,8.872628763158442,6,,,,100.24500012397766,
Instance1,0,10,"[15, 16]","[0, 2]","[0, 1]",TIME_LIMIT,154.50999906912418,145.69914370089083,0.05702449952311226,5.702449952311226,1,,,,100.23099994659424,
Instance2,1,1,"[15, 16]","[1, 3]","[0, 1]",TIME_LIMIT,10.306666657700694,8.226666666307958,0.2018111248255662,20.18111248255662,1,,,,100.36500000953674,
Instance2,0,2,"[15, 19]","[1, 12]","[0, 4]",TIME_LIMIT,10.523333225028107,8.85563233542469,0.15847648781443602,15.847648781443603,4,,,,100.3289999961853,
Instance2,0,3,"[15, 17]","[1, 4]","[0, 2]",OPTIMAL,11.17,11.17,0.0,0.0,2,,,,67.72399997711182,
Instance2,0,4,"[18, 19]","[6, 12]","[3, 4]",TIME_LIMIT,11.246666666666668,8.268454452239961,0.264808436374633,26.480843637463302,10,,,,100.32499980926514,
Instance2,0,5,"[16, 18]","[3, 6]","[1, 3]",TIME_LIMIT,11.283333333333333,7.8019318688283406,0.30854370438744394,30.854370438744393,6,,,,100.33400011062622,
Instance2,0,6,"[16, 17]","[3, 4]","[1, 2]",TIME_LIMIT,11.713333333333335,9.742728965804433,0.16823600178106726,16.823600178106727,5,,,,100.25399994850159,
Instance2,0,7,"[17, 18]","[4, 6]","[2, 3]",TIME_LIMIT,11.913333103177768,9.698006600660069,0.1859535432553953,18.595354325539528,8,,,,100.14900016784668,
Instance2,0,8,"[17, 19]","[4, 12]","[2, 4]",TIME_LIMIT,13.119999983201666,11.294357716439963,0.13914956319353533,13.914956319353532,9,,,,100.23100018501282,
Instance2,0,9,"[15, 18]","[1, 6]","[0, 3]",OPTIMAL,13.780000000000003,13.779999999999998,3.867250013208092e-16,3.867250013208092e-14,3,,,,75.95300006866455,
Instance2,0,10,"[16, 19]","[3, 12]","[1, 4]",TIME_LIMIT,15.236666666666668,13.756693582729996,0.09713233979019942,9.713233979019941,7,,,,100.12899994850159,
Instance3,1,1,"[15, 18]","[5, 8]","[0, 3]",TIME_LIMIT,10.506666666666666,9.082785705833457,0.13552166505392219,13.552166505392218,3,,,,100.22100019454956,
Instance3,0,2,"[18, 19]","[8, 14]","[3, 4]",OPTIMAL,10.72,10.72,0.0,0.0,10,,,,94.72300004959106,
Instance3,0,3,"[15, 19]","[5, 14]","[0, 4]",OPTIMAL,11.00666666666667,11.006666666666664,4.841675213386508e-16,4.841675213386508e-14,4,,,,17.778000116348267,
Instance3,0,4,"[15, 16]","[5, 6]","[0, 1]",OPTIMAL,11.23,11.229999999999999,1.5817959389138472e-16,1.581795938913847e-14,1,,,,69.41100001335144,
Instance3,0,5,"[15, 17]","[5, 7]","[0, 2]",OPTIMAL,11.253333333333334,11.253333333333334,0.0,0.0,2,,,,62.699000120162964,
Instance3,0,6,"[17, 18]","[7, 8]","[2, 3]",TIME_LIMIT,11.33,10.667616873012566,0.05846276495917335,5.846276495917335,8,,,,100.2059998512268,
Instance3,0,7,"[16, 18]","[6, 8]","[1, 3]",OPTIMAL,11.423333253145364,11.423333253145364,0.0,0.0,6,,,,11.448999881744385,
Instance3,0,8,"[16, 19]","[6, 14]","[1, 4]",OPTIMAL,11.956666666666669,11.956666666666662,5.942649030611375e-16,5.942649030611374e-14,7,,,,9.597000122070312,
Instance3,0,9,"[17, 19]","[7, 14]","[2, 4]",OPTIMAL,12.553333084444223,12.553333084444223,0.0,0.0,9,,,,17.271999835968018,
Instance3,0,10,"[16, 17]","[6, 7]","[1, 2]",OPTIMAL,17.66,17.66,0.0,0.0,5,,,,15.913999795913696,
Instance4,1,1,"[16, 17]","[5, 10]","[1, 2]",TIME_LIMIT,8.909999985890655,6.754487905329292,0.2419205481453091,24.192054814530913,5,,,,100.42700004577637,
Instance4,0,2,"[17, 19]","[10, 14]","[2, 4]",TIME_LIMIT,9.103333333333333,7.02567240971509,0.22823078619021345,22.823078619021345,9,,,,100.32399988174438,
Instance4,0,3,"[15, 16]","[1, 5]","[0, 1]",TIME_LIMIT,9.286666640804834,7.3700000000000045,0.20638908608856021,20.63890860885602,1,,,,100.35500001907349,
Instance4,0,4,"[15, 19]","[1, 14]","[0, 4]",TIME_LIMIT,9.8466633729962,7.650325203252036,0.2230540525806408,22.305405258064077,4,,,,100.38700008392334,
Instance4,0,5,"[18, 19]","[12, 14]","[3, 4]",OPTIMAL,11.39,11.389999888296298,9.807173159610935e-09,9.807173159610936e-07,10,,,,44.08899998664856,
Instance4,0,6,"[16, 18]","[5, 12]","[1, 3]",OPTIMAL,11.506666666666666,11.506666666666666,0.0,0.0,6,,,,55.57299995422363,
Instance4,0,7,"[17, 18]","[10, 12]","[2, 3]",TIME_LIMIT,12.616666660304213,9.12890838007872,0.2764405507517306,27.644055075173057,8,,,,100.35999989509583,
Instance4,0,8,"[15, 18]","[1, 12]","[0, 3]",TIME_LIMIT,12.83666666666667,9.28812859007634,0.276437658524305,27.6437658524305,3,,,,100.28499984741211,
Instance4,0,9,"[16, 19]","[5, 14]","[1, 4]",OPTIMAL,16.76666666666667,16.766666666666666,2.1189147189665012e-16,2.118914718966501e-14,7,,,,27.569000005722046,
Instance4,0,10,"[15, 17]","[1, 10]","[0, 2]",OPTIMAL,17.246666194361477,17.246666194361474,2.0599422745028857e-16,2.0599422745028857e-14,2,,,,22.969000101089478,
