instance,benchmark_open_depots,benchmark_open_depots_base,benchmark_open_depots_idx,benchmark_expected_obj,benchmark_runtime_sec,with_open_depots,with_open_depots_base,with_open_depots_idx,with_expected_obj,with_gap_vs_benchmark_pct,with_runtime_sec,without_open_depots,without_open_depots_base,without_open_depots_idx,without_expected_obj,without_gap_vs_benchmark_pct,without_runtime_sec
Instance1,"[15, 17]","[0, 5]","[0, 2]",108.19000000000001,5.384481200002483,"[15, 17]","[0, 5]","[0, 2]",108.19000000000001,0.0,3.9588989000039874,"[17, 18]","[5, 11]","[2, 3]",138.81333333333333,28.305142188125814,0.008360100000572857
Instance2,"[15, 19]","[1, 12]","[0, 4]",10.879999999999999,6.1154126999972505,"[15, 19]","[1, 12]","[0, 4]",10.879999999999999,0.0,7.957304700001259,"[15, 19]","[1, 12]","[0, 4]",16.046666666666667,47.48774509803923,0.00790959999721963
Instance3,"[15, 18]","[5, 8]","[0, 3]",11.283333333333333,5.926326599997992,"[15, 18]","[5, 8]","[0, 3]",11.283333333333333,0.0,8.040257600005134,"[15, 19]","[5, 14]","[0, 4]",15.413333333333332,36.602658788773994,0.008131799993861932
Instance4,"[16, 17]","[5, 10]","[1, 2]",9.386666666666667,5.63769759999559,"[16, 17]","[5, 10]","[1, 2]",9.386666666666667,0.0,7.445797399996081,"[17, 19]","[10, 14]","[2, 4]",15.033333333333335,60.15625000000002,0.007917400005680975
Instance5,"[16, 19]","[4, 10]","[1, 4]",10.77,5.737973800001782,"[16, 19]","[4, 10]","[1, 4]",10.77,0.0,10.93998830000055,"[15, 16]","[3, 4]","[0, 1]",16.0,48.56081708449397,0.008302700000058394
Instance6,"[15, 16]","[3, 7]","[0, 1]",19.46333333333333,5.918408900004579,"[15, 16]","[3, 7]","[0, 1]",19.46333333333333,0.0,8.18176510000194,"[15, 17]","[3, 8]","[0, 2]",67.69333333333333,247.7992806987498,0.004430900000443216
Instance7,"[16, 18]","[5, 8]","[1, 3]",92.80333333333334,6.167575200001011,"[16, 18]","[5, 8]","[1, 3]",92.80333333333334,0.0,11.945933499999228,"[15, 16]","[1, 5]","[0, 1]",151.41333333333333,63.15505908552134,0.008787099999608472
Instance8,"[15, 19]","[1, 14]","[0, 4]",7.57,6.437994899999467,"[15, 19]","[1, 14]","[0, 4]",7.57,0.0,8.357919199996104,"[17, 18]","[8, 12]","[2, 3]",13.620000000000001,79.9207397622193,0.008228399994550273
Instance9,"[17, 19]","[6, 13]","[2, 4]",107.5,5.727427900004841,"[17, 19]","[6, 13]","[2, 4]",107.5,0.0,7.430567199997313,"[17, 18]","[6, 8]","[2, 3]",150.67333333333335,40.16124031007753,0.008617899999080691
Instance10,"[17, 19]","[4, 14]","[2, 4]",113.08000000000001,5.923456600001373,"[17, 19]","[4, 14]","[2, 4]",113.08000000000001,0.0,7.51559869999619,"[18, 19]","[6, 14]","[3, 4]",175.83333333333334,55.494635066619495,0.011459900000772905
