instance,with_open_depots,with_open_depots_base,with_expected_obj,with_runtime_sec,without_open_depots,without_open_depots_base,without_expected_obj,without_runtime_sec,pct_gap_wo_vs_with,pct_cpu_decrease_wo_vs_with
Instance1,"[15, 17]","[0, 5]",108.19000000000001,3.881844600000477,"[17, 18]","[5, 11]",138.81333333333333,0.008009800003492273,28.305142188125814,99.7936599521915
Instance2,"[15, 19]","[1, 12]",10.879999999999999,7.790379400001257,"[15, 19]","[1, 12]",16.046666666666667,0.00797479999891948,47.48774509803923,99.89763271351177
Instance3,"[15, 18]","[5, 8]",11.283333333333333,7.829284199993708,"[15, 19]","[5, 14]",15.413333333333332,0.007707799995841924,36.602658788773994,99.90155166425242
Instance4,"[16, 17]","[5, 10]",9.386666666666667,7.272875599999679,"[17, 19]","[10, 14]",15.033333333333335,0.007913399997050874,60.15625000000002,99.89119296915993
Instance5,"[16, 19]","[4, 10]",10.77,10.705994900003134,"[15, 16]","[3, 4]",16.0,0.007970300001034047,48.56081708449397,99.9255529254826
Instance6,"[15, 16]","[3, 7]",19.46333333333333,7.875713800000085,"[15, 17]","[3, 8]",67.69333333333333,0.004260599998815451,247.7992806987498,99.9459020463794
Instance7,"[16, 18]","[5, 8]",92.80333333333334,11.608737399998063,"[15, 16]","[1, 5]",151.41333333333333,0.0084220999997342,63.15505908552134,99.92745033581572
Instance8,"[15, 19]","[1, 14]",7.57,8.073539299999538,"[17, 18]","[8, 12]",13.620000000000001,0.007859299999836367,79.9207397622193,99.90265359828201
Instance9,"[17, 19]","[6, 13]",107.5,7.195164500000828,"[17, 18]","[6, 8]",150.67333333333335,0.008362000000488479,40.16124031007753,99.88378306013036
Instance10,"[17, 19]","[4, 14]",113.08000000000001,7.256997299999057,"[18, 19]","[6, 14]",175.83333333333334,0.011239699997531716,55.494635066619495,99.84511913766961
